uid,iid,score,review,date
16,15,3.0,"The decor and everything int he restaurant is really nice and sheik looking. We got the Resting Panda and the Whiskey sour, both of which were very tasting drinks. We started with the Foo Foo plater (just to be able to try a bit of everything). It was pretty good actually, I'd highly recommend it! Our server (i believe her name was Nicky) was super awesome and really nice and helpful. She decided on getting the pork belly ramen and two sushi rolls. The ramen was good, a little salty, but I'd recommend it. Then we received the Spider roll, which was great. Next up was the Crispy roll, which was where the problems arose. We had to wait over 45 minutes for one roll. After about half an hour they finally brought us a different roll to apologize for it taking so long. Apparently they didn't have the crispy rice prepped so that was what was taking so long. I myself am a server, and although the server came over and apologized several times, it probably would have been a good idea to have the manager come and apologize. We finally got it and it was okay, and they ended up comping it, which was nice. I'd give this place one more try...But I most limey wouldn't order the crispy rice roll again.",2015-01-03 22:17:56
2,2,5.0,"I have to say that this office really has it together, they are so organized and friendly!  Dr. J. Phillipp is a great dentist, very friendly and professional.  The dental assistants that helped in my procedure were amazing, Jewel and Bailey helped me to feel comfortable!  I don't have dental insurance, but they have this insurance through their office you can purchase for $80 something a year and this gave me 25% off all of my dental work, plus they helped me get signed up for care credit which I knew nothing about before this visit!  I highly recommend this office for the nice synergy the whole office has!",2016-11-09 20:09:03
18,17,5.0,Amazing!!! Clean and pretty! Best service I've been in Las Vegas! Everyone are so nice! And all the design are perfect,2016-09-30 20:16:16
18,17,5.0,Amazing!!! Clean and pretty! Best service I've been in Las Vegas! Everyone are so nice! And all the design are perfect,2016-09-30 20:16:16
20,19,2.0,"The only reason I'm even giving this place 2 stars is because of their food and drinks. Their service however, is probably the WORST I've ever had. I used to (emphasis on the tense) go there every Tuesday for trivia night (the guy hosting is awesome). My service has been absolutely horrible every time except for once when a girl named Jess waited on us. The rest of the waitresses are completely incompetent and utterly rude off the bat. 

When we began ordering appetizers the waitress stopped us and asked if this was ""going to be complicated or not."" She then forgot to put in an order for 1 of 3 appetizers ordered. It took about 15 mins after getting 2 of them, to even bring that to her attention, for which she didn't even apologize. After 35mins and someone else bringing our food out, we finally had to go to the bar and ask someone to come take our drink orders, a task that was also messed up (I ordered their special of Big ass margeritas to which I received a small mason jar of mostly ice). They told me it'd be free, but it honestly wasn't even worth that. After that, the only time I saw our waitress was when she was visibly talking about us and pointing with another waitress. Completely unprofessional. A different waitress had to bring us our checks and messed that up too. 

I had this same waitress the Tuesday before accompanied by the same crummy service. That's when I realized that it wasn't just a bad or busy night (it was a Tuesday for crying out loud), but that this woman is just REALLY bad at customer service. Definitely do NOT recommend going there!!! Don't know exactly which was our original waitress but our checks said Joanne G. 

Will also be posting my experience on your Facebook in hopes that you get better trained and caring staff.",2017-08-16 04:18:04
17,16,5.0,Best Thai food ever! Love the mango curry especially and everything. They have great bubble tea too. Very nice service very polite.,2018-07-17 00:36:37
23,22,5.0,"Ikea....an experience!

I adore Ikea! There is nothing better to me than seeing a piece in it's functionality and how it will work in a room, hence, the showroom.

When you go to Ikea, it is simply a MUST to enjoy the top floor showroom area. What I would have given to have had Ikea in NC when I got my first apartment. Not only are the items affordable but seeing Ikea's recommendations of how to decorate, supply, and organize a living space in 640 sq. feet is a miracle! It totally works and somehow I find myself wanting to go live in a space that small! 

Ikea can be intimidating in it's size and there being SO MUCH STUFF but it is well worth it! I always go to Ikea with a list of items that I am needing for the home and I always find it, while also finding MUCH MORE to leave with. The greatest part of Ikea is the price! There is a reason that you have to get your own furniture items and load your own cars/trucks/vans with your purchases...to save the costs of Ikea! This is a good thing because then the savings are passed along to you, the shopper!

Do yourself a favor, plan a day! Go and spend a few hours upstairs in the showroom, have lunch in the cafe.... rest a bit, then venture downstairs to get all the stuff your heart desires! 

Ikea....an experience!",2012-07-16 00:25:24
16,15,3.0,"The decor and everything int he restaurant is really nice and sheik looking. We got the Resting Panda and the Whiskey sour, both of which were very tasting drinks. We started with the Foo Foo plater (just to be able to try a bit of everything). It was pretty good actually, I'd highly recommend it! Our server (i believe her name was Nicky) was super awesome and really nice and helpful. She decided on getting the pork belly ramen and two sushi rolls. The ramen was good, a little salty, but I'd recommend it. Then we received the Spider roll, which was great. Next up was the Crispy roll, which was where the problems arose. We had to wait over 45 minutes for one roll. After about half an hour they finally brought us a different roll to apologize for it taking so long. Apparently they didn't have the crispy rice prepped so that was what was taking so long. I myself am a server, and although the server came over and apologized several times, it probably would have been a good idea to have the manager come and apologize. We finally got it and it was okay, and they ended up comping it, which was nice. I'd give this place one more try...But I most limey wouldn't order the crispy rice roll again.",2015-01-03 22:17:56
9,9,5.0,"Best Wonton soup ever!!! Delicious food and great service. We had Chicken Satay, Roti C., Wonton soup, and one of the fried noodle and shrimp dishes. Definitely will be back!",2015-11-06 00:02:50
3,3,4.0,Great lunch today. Staff was very helpful in assisting with selections and knowledgeable on the ingredients. We enjoyed the BBQ chicken with tika masala sauce and really good naan bread. The biryani with chicken was also yummy! Fun to see the food being prepared in the tandoori ovens. Great addition to the fast casual scene in Cleveland.,2015-01-03 22:47:34
21,20,5.0,Wild every night! My favorite place hands-down in AZ! The night life here is contagious and Iv never been disappointed with there Sunday fun day! Every Sunday they have a corn hole competition and crazy drink specials like penny refills!! You also have to try there duck and pork tacos or there Hefe Hamburger! My favorite margarita on the menu is the la chica flaca. If you want a fun place to get lunch and a few drinks or looking to go crazy night this is the spot.,2014-06-27 21:15:37
26,25,4.0,"Went in on a Friday since I was strolling around the Venetian and came across this place! The wait wasn't too bad around 1pm (probably 25 minutes max). This place serves a variety of Latin American cuisines including tapas, tacos and burgers! It's standard pricing for Vegas. I ordered the brisket tacos and I didn't feel that they tasted anything out of the ordinary. Service was okay, but I thought it was really awesome for the server to ask my party right away if we have any allergies or items that we don't enjoy eating. However, the portions are on the smaller side so it's perfect to have lunch there if you don't want lug any leftovers around!",2018-04-27 18:53:06
20,19,2.0,"The only reason I'm even giving this place 2 stars is because of their food and drinks. Their service however, is probably the WORST I've ever had. I used to (emphasis on the tense) go there every Tuesday for trivia night (the guy hosting is awesome). My service has been absolutely horrible every time except for once when a girl named Jess waited on us. The rest of the waitresses are completely incompetent and utterly rude off the bat. 

When we began ordering appetizers the waitress stopped us and asked if this was ""going to be complicated or not."" She then forgot to put in an order for 1 of 3 appetizers ordered. It took about 15 mins after getting 2 of them, to even bring that to her attention, for which she didn't even apologize. After 35mins and someone else bringing our food out, we finally had to go to the bar and ask someone to come take our drink orders, a task that was also messed up (I ordered their special of Big ass margeritas to which I received a small mason jar of mostly ice). They told me it'd be free, but it honestly wasn't even worth that. After that, the only time I saw our waitress was when she was visibly talking about us and pointing with another waitress. Completely unprofessional. A different waitress had to bring us our checks and messed that up too. 

I had this same waitress the Tuesday before accompanied by the same crummy service. That's when I realized that it wasn't just a bad or busy night (it was a Tuesday for crying out loud), but that this woman is just REALLY bad at customer service. Definitely do NOT recommend going there!!! Don't know exactly which was our original waitress but our checks said Joanne G. 

Will also be posting my experience on your Facebook in hopes that you get better trained and caring staff.",2017-08-16 04:18:04
20,19,2.0,"The only reason I'm even giving this place 2 stars is because of their food and drinks. Their service however, is probably the WORST I've ever had. I used to (emphasis on the tense) go there every Tuesday for trivia night (the guy hosting is awesome). My service has been absolutely horrible every time except for once when a girl named Jess waited on us. The rest of the waitresses are completely incompetent and utterly rude off the bat. 

When we began ordering appetizers the waitress stopped us and asked if this was ""going to be complicated or not."" She then forgot to put in an order for 1 of 3 appetizers ordered. It took about 15 mins after getting 2 of them, to even bring that to her attention, for which she didn't even apologize. After 35mins and someone else bringing our food out, we finally had to go to the bar and ask someone to come take our drink orders, a task that was also messed up (I ordered their special of Big ass margeritas to which I received a small mason jar of mostly ice). They told me it'd be free, but it honestly wasn't even worth that. After that, the only time I saw our waitress was when she was visibly talking about us and pointing with another waitress. Completely unprofessional. A different waitress had to bring us our checks and messed that up too. 

I had this same waitress the Tuesday before accompanied by the same crummy service. That's when I realized that it wasn't just a bad or busy night (it was a Tuesday for crying out loud), but that this woman is just REALLY bad at customer service. Definitely do NOT recommend going there!!! Don't know exactly which was our original waitress but our checks said Joanne G. 

Will also be posting my experience on your Facebook in hopes that you get better trained and caring staff.",2017-08-16 04:18:04
6,6,5.0,Best chinese resto. Highly recommended. 5 stars. Let us support this business. Best in the west valley. Trust me you wont gi wrong coming to this place,2016-03-07 01:03:08
22,21,1.0,What a mess. Been in line over an hour and there are still about 10 people in front of me. Should've stuck with the company I usually use....next counter or two over. Came here based on SW Airlines suggestion and email. Ugh,2018-02-01 19:30:58
23,22,5.0,"Ikea....an experience!

I adore Ikea! There is nothing better to me than seeing a piece in it's functionality and how it will work in a room, hence, the showroom.

When you go to Ikea, it is simply a MUST to enjoy the top floor showroom area. What I would have given to have had Ikea in NC when I got my first apartment. Not only are the items affordable but seeing Ikea's recommendations of how to decorate, supply, and organize a living space in 640 sq. feet is a miracle! It totally works and somehow I find myself wanting to go live in a space that small! 

Ikea can be intimidating in it's size and there being SO MUCH STUFF but it is well worth it! I always go to Ikea with a list of items that I am needing for the home and I always find it, while also finding MUCH MORE to leave with. The greatest part of Ikea is the price! There is a reason that you have to get your own furniture items and load your own cars/trucks/vans with your purchases...to save the costs of Ikea! This is a good thing because then the savings are passed along to you, the shopper!

Do yourself a favor, plan a day! Go and spend a few hours upstairs in the showroom, have lunch in the cafe.... rest a bit, then venture downstairs to get all the stuff your heart desires! 

Ikea....an experience!",2012-07-16 00:25:24
13,12,1.0,"At least the Pinks concession stand by Section 3.  Unqualified servers who don't tell you that they won't take cash - and they seriously won't take cash.  Then the manager wouldn't even take the cash to another register. The lines are stupid 
long and the workers incapable of handling the slightest issue. I m sitting upstairs if there is a next time I come to a Knights game.",2018-09-25 03:58:48
8,8,4.0,"notes: 1 visit, breakfast/lunch
overall: Excellent high-end buffet, but the dessert section needs a little work.

highlights: 
- Dip the foccacia pizza in some chimichurri sauce, and it's the best pizza you'll have ever had.
- Prime rib is excellent
- I hate crab legs in general, but everyone else says they were great here, really fresh.
- Cookies!  You must try their cookies.  I got so lucky and grabbed some white chocolate macadamia cookies when they were still warm.  Crispy on the sides and chewy and mouth-wateringly good.  I mean, I was stuffed beyond belief, but I couldn't stop eating it!
- If you get in during breakfast time, do try the Portuguese sausage.  It's the only breakfast food really worth it.

Avoid:
- Gelato bar looks good, but the texture was more like the soft serve at Dairy Queen. (which I HATE) So disappointed.
- Shrimp pad thai was served ice cold.  So gross.",2010-01-08 04:28:23
11,10,4.0,Great cocktails and very good food.  Overall first class restaurant.,2013-02-21 21:25:07
37,35,4.0,"Absolutely no complaints! Stayed in the Bella Suite with a view. It was a fantastic room; amazing service and friendly staff. The only reason it doesn't get 5 stars is room service.  Yeah yeah I know and can expect to pay higher prices for room service food, but $34 for hot tea and doughnuts (OUCH!) They charge $5 for room service, but I think that should be free.",2015-09-24 00:32:53
28,27,4.0,"I have visited this place several times. They have great happy hour prices and their regular menu prices are very reasonable too. Their entrees are big enough to share, my favorite is their fish tacos. They tend to get pretty busy on Friday nights, so there is sometimes a bit of a wait. Overall, thumbs up!",2012-12-04 02:18:24
1,1,1.0,Total bill for this horrible service? Over $8Gs. These crooks actually had the nerve to charge us $69 for 3 pills. I checked online the pills can be had for 19 cents EACH! Avoid Hospital ERs at all costs.,2013-05-07 04:34:36
12,11,4.0,Met an old close friend for dinner at Portofino.  Great intimate dinning with class. Excellent pasta and meat dishes. Delightful service and great drinks. Will come back!,2014-12-17 17:46:03
29,28,1.0,"The location was excellent and the restaurant was beautiful. The food was awful and our server was very rude and impolite.
We were a group of 6 people and whatever we ordered was worse than another one!
Even my little daughter who loves french fries couldn't eat them because they weren't fresh and she thought that they were artificial!!!",2017-08-16 04:41:54
37,35,4.0,"Absolutely no complaints! Stayed in the Bella Suite with a view. It was a fantastic room; amazing service and friendly staff. The only reason it doesn't get 5 stars is room service.  Yeah yeah I know and can expect to pay higher prices for room service food, but $34 for hot tea and doughnuts (OUCH!) They charge $5 for room service, but I think that should be free.",2015-09-24 00:32:53
30,29,5.0,"Juan's is ALWAYS busy because it's ALWAYS good. It's great food, but the excellent, friendly service is what keeps people coming back. I've been here dozens of times...date nights, with family, with kids, girls nights. Always wonderful. Try the shrimp ceviche!",2018-05-28 20:23:06
8,8,4.0,"notes: 1 visit, breakfast/lunch
overall: Excellent high-end buffet, but the dessert section needs a little work.

highlights: 
- Dip the foccacia pizza in some chimichurri sauce, and it's the best pizza you'll have ever had.
- Prime rib is excellent
- I hate crab legs in general, but everyone else says they were great here, really fresh.
- Cookies!  You must try their cookies.  I got so lucky and grabbed some white chocolate macadamia cookies when they were still warm.  Crispy on the sides and chewy and mouth-wateringly good.  I mean, I was stuffed beyond belief, but I couldn't stop eating it!
- If you get in during breakfast time, do try the Portuguese sausage.  It's the only breakfast food really worth it.

Avoid:
- Gelato bar looks good, but the texture was more like the soft serve at Dairy Queen. (which I HATE) So disappointed.
- Shrimp pad thai was served ice cold.  So gross.",2010-01-08 04:28:23
13,12,1.0,"At least the Pinks concession stand by Section 3.  Unqualified servers who don't tell you that they won't take cash - and they seriously won't take cash.  Then the manager wouldn't even take the cash to another register. The lines are stupid 
long and the workers incapable of handling the slightest issue. I m sitting upstairs if there is a next time I come to a Knights game.",2018-09-25 03:58:48
46,44,4.0,"Had a fantastic experience dining at Olive & Ivy! Believe it or not, we even thoroughly enjoyed dining outside in the August Scottsdale swelter- their misting system works amazingly well.

Went with my daughter and two of her friends- and I totally loved this place! I liked the high ceilings, the cozy decor, the lighting, and the marketplace feel of the interior... Because of numerous raves on yelp, we ordered the bacon wrapped dates for an appetizer. It's true, they are totally fabulous- not to be missed! 

I had chicken scaloppini, which was delicious- perfectly prepared, and served with just the right amount of sauce and Mediterranean olives. The girls all ordered pasta dishes- raved about, and then subsequently demolished them. There wasn't one crumb of food left on anyone's plate! 

The focaccia bread with pesto is wonderful, and they have a great wine list here. I had a glass of Syrah from Washington state, which was thankfully served at the right temperature and was very nicely balanced. We were celebrating one of my daughter's friend's birthdays, so our delightful waiter brought us a complimentary dessert- an ""ice cream bar,"" which had ice cream, marshmallow, and lots of rich, luscious chocolate. It was totally delicious, and reminded us of a s'more.

Olive & Ivy is a nice place to people watch- the patio fronts the waterfront, and reminded me of a sidewalk cafe in Europe. I will definitely be back- only wish we had an Olive & Ivy in Tucson!",2013-08-03 15:44:57
44,42,3.0,"Place was okay...
Sangria I has was watery & unflavorful, but got me buzzed. That was part of the point of the drink, but I like a craftily concocted cocktail or elixir & this one was not.

But, (I'm using a lot of buts...) the unchicken & waffles was quite okay. They used veggie meat & they did quite a good job making it like chicken. Since I can't do Roscoe's cause I'm a veggie, this spot did the trick. If Roscoe's was in Europe it would be a different story...

It hit the spot. Came with sweet potato mash and collard greens on the side. It was all super healthy. No crazy amounts of butter or oil. Yet, it tasted amazing. But it definitely could have used a side of syrup. What was on there wasn't nearly sufficient enough.

The atmosphere was not to my liking. Very cafe-like and crowded.

But it's an alright spot. I may or may not go back.",2014-05-25 20:30:31
43,41,4.0,"Very simple,  yet very tasty wraps.  Corn chowder soup was ok, but the Ravi soup was great with lots of authentic Indian spices.",2016-07-03 18:02:14
8,8,4.0,"notes: 1 visit, breakfast/lunch
overall: Excellent high-end buffet, but the dessert section needs a little work.

highlights: 
- Dip the foccacia pizza in some chimichurri sauce, and it's the best pizza you'll have ever had.
- Prime rib is excellent
- I hate crab legs in general, but everyone else says they were great here, really fresh.
- Cookies!  You must try their cookies.  I got so lucky and grabbed some white chocolate macadamia cookies when they were still warm.  Crispy on the sides and chewy and mouth-wateringly good.  I mean, I was stuffed beyond belief, but I couldn't stop eating it!
- If you get in during breakfast time, do try the Portuguese sausage.  It's the only breakfast food really worth it.

Avoid:
- Gelato bar looks good, but the texture was more like the soft serve at Dairy Queen. (which I HATE) So disappointed.
- Shrimp pad thai was served ice cold.  So gross.",2010-01-08 04:28:23
37,35,4.0,"Absolutely no complaints! Stayed in the Bella Suite with a view. It was a fantastic room; amazing service and friendly staff. The only reason it doesn't get 5 stars is room service.  Yeah yeah I know and can expect to pay higher prices for room service food, but $34 for hot tea and doughnuts (OUCH!) They charge $5 for room service, but I think that should be free.",2015-09-24 00:32:53
35,33,5.0,"A wonderful dinner experience! Hubby and I came couple months ago, it was our first time at Sushi Samba. We didn't have reservations, but they were able to seat us at the sushi bar. 
We had the A5 Wagyu gyoza, was tender and not overdone, Tuna tataki, Chicken Samba was a good size portion, El topo roll, chef sashimi selections, and Tonkotsu ramen. Everything we order was super yummy!  Definitely coming back again next time we're in town!!
I would recommend making reservations next time, the sushi bar is kind of tight and if you order a good amount of food, not too much room.",2017-09-08 23:17:03
24,23,5.0,"Go. Seriously. You will not be disappointed one bit!

We were craving breakfast food and decided to check this place out. We shared a skillet and a few breakfast sides, each of which were cooked to perfection and super tasty. The atmosphere here is cute, clean, and just what you want for enjoying your breakfast. 

What really made our day being here was our awesome server, Tina. She was so cool, upbeat, easy to talk with, and was the most accommodating server you could ever hope to have. We plan on returning for more good eats and to see Tina again. :)",2018-04-27 18:31:23
42,40,5.0,"This is one of my favorite places to eat.  The food is delicious, fresh and almost everything can be made with tofu as a substitute.  The owners are very friendly and the food truly is superb!",2010-07-07 20:32:25
47,35,5.0,"i did not stay at this hotel but i did visit the hotel and the shops. Beautiful place!!!! not too crowded, very quiet and peaceful... I love this place. This hotel is located on the strip on the north end.. It's less crowded on the north and there is a mall right across the street. This hotel has many high end stores for shopping such as LV, Cartier, etc, but there is a regular mall across the street with Macy's, forever 21, etc..  The gondola rides are nice, but short!! it's 19.95 a person and it's 10mins long. They can stay in doors and out doors with the gondola. I heard out door is better at night because of the lights. Great overall experience, wonderful restaurants, awesome shops..",2015-03-18 18:12:29
12,11,4.0,Met an old close friend for dinner at Portofino.  Great intimate dinning with class. Excellent pasta and meat dishes. Delightful service and great drinks. Will come back!,2014-12-17 17:46:03
6,6,5.0,Best chinese resto. Highly recommended. 5 stars. Let us support this business. Best in the west valley. Trust me you wont gi wrong coming to this place,2016-03-07 01:03:08
49,24,2.0,"Having dined at many other Vegas buffets (the Wynn, the Paris, the Mirage, etc.) I found myself very underwhelmed. Everyone raves about the Bellagio buffet but I just kept wishing I had gone to the Wynn.
The decor is decent and the quality of the food is good, but there wasn't much of an assortment. I went for 4th of July brunch at around 11:30am and the sushi bar wasn't open, there was not a single pasta dish, the slice of meat I got was fatty and veiny, and our drinks took 20+ minutes to arrive.
I will say that the fruit was fresh and yummy (melon, berries, etc.) and the desserts were good, but it wasn't enough to make me want to come back here ever again.",2010-07-07 16:03:41
55,52,5.0,"Amazing Burgers. The combinations of ingredients is Fantabulous  
It's difficult to have a favorite and yes, I've had every item on the menu",2017-12-02 18:37:50
10,8,3.0,"We went here Saturday for dinner. We had a 2-1 coupon. Price was $37 for two people so a good deal. 

Very large space, open layout.  Been here a few times years ago. I ate mostly the crab legs. Prime rib. 

They provide a self serve drink area, which I think is good.  You don't have to flag down a staff to get a drink when you want one. We've all been in that situation. 

Unlimited alcohol, wines and beer. They have a bar area with one bartender working and a bunch of tv's to watch or get updates on games. 

I wouldn't go out of my way, but if I was in Mirage and hungry, I'd eat there if we had another 2-1 coupon. I wouldn't spend full retail price eating there. Other buffets on the strip are better for same price points.",2014-09-09 19:15:26
40,38,5.0,Great food and have good vegetarian options. Always busy  lots of great sauces to choose from,2016-02-23 19:15:59
2,2,5.0,"I have to say that this office really has it together, they are so organized and friendly!  Dr. J. Phillipp is a great dentist, very friendly and professional.  The dental assistants that helped in my procedure were amazing, Jewel and Bailey helped me to feel comfortable!  I don't have dental insurance, but they have this insurance through their office you can purchase for $80 something a year and this gave me 25% off all of my dental work, plus they helped me get signed up for care credit which I knew nothing about before this visit!  I highly recommend this office for the nice synergy the whole office has!",2016-11-09 20:09:03
32,30,5.0,"I love this location. Christina was our server this morning and she was fantastic. As a former waitress I understand how hectic and overwhelming a morning shift can get but she was attentive and very friendly and always kept her cool even with the tons of tables she had. 

The food was brought to us within ten minutes of ordering (successfully taming the hangry beast that was brewing) and any modification to our order was done correctly! The food itself was pretty good. 
-- I highly recommend the banana nutella crepes. 

Overall I was very impressed with this recent visit. Keep up the good work!",2016-11-21 20:14:25
8,8,4.0,"notes: 1 visit, breakfast/lunch
overall: Excellent high-end buffet, but the dessert section needs a little work.

highlights: 
- Dip the foccacia pizza in some chimichurri sauce, and it's the best pizza you'll have ever had.
- Prime rib is excellent
- I hate crab legs in general, but everyone else says they were great here, really fresh.
- Cookies!  You must try their cookies.  I got so lucky and grabbed some white chocolate macadamia cookies when they were still warm.  Crispy on the sides and chewy and mouth-wateringly good.  I mean, I was stuffed beyond belief, but I couldn't stop eating it!
- If you get in during breakfast time, do try the Portuguese sausage.  It's the only breakfast food really worth it.

Avoid:
- Gelato bar looks good, but the texture was more like the soft serve at Dairy Queen. (which I HATE) So disappointed.
- Shrimp pad thai was served ice cold.  So gross.",2010-01-08 04:28:23
27,26,4.0,"The Four Stars = to  how expensive this place is.  I only saw two dollar signs for this place, but it should be four dollar signs.

I don't remember what I ordered but it all came to $75.00
( 2 ) bacon egg sandwiches 
( 2 ) other breakfast sandwiches
( 2 ) breakfast desserts
( 2 ) juices or water
I'm pretty sure this was all I ordered.

It tasted good because at 2:30am we were all hungry.  I ordered to go since the place was packed from all the clubbers and hotel guests that was here.  I remember that I didn't have to wait very long after placing my order.  I remember that we all scarfed it down in matter of a minute.  I vaguely remember crawling into bed soon after.",2016-08-25 09:56:27
42,40,5.0,"This is one of my favorite places to eat.  The food is delicious, fresh and almost everything can be made with tofu as a substitute.  The owners are very friendly and the food truly is superb!",2010-07-07 20:32:25
63,59,5.0,"We chose this place to split lunch and it was an excellent choice. Waiter was very enthusiast and funny. Had a good beer selection (mostly bottles) which was refreshing after much walking. BLT fried green tomato appetizer is a must have. We split the blue plate for our meal. Watermelon was tasty, chicken as well. Chicken wasn't anything special for me, but I am by no means a fried chicken expert. Only downfall was restaurant was a bit dark for lunch.",2016-10-13 23:20:39
16,15,3.0,"The decor and everything int he restaurant is really nice and sheik looking. We got the Resting Panda and the Whiskey sour, both of which were very tasting drinks. We started with the Foo Foo plater (just to be able to try a bit of everything). It was pretty good actually, I'd highly recommend it! Our server (i believe her name was Nicky) was super awesome and really nice and helpful. She decided on getting the pork belly ramen and two sushi rolls. The ramen was good, a little salty, but I'd recommend it. Then we received the Spider roll, which was great. Next up was the Crispy roll, which was where the problems arose. We had to wait over 45 minutes for one roll. After about half an hour they finally brought us a different roll to apologize for it taking so long. Apparently they didn't have the crispy rice prepped so that was what was taking so long. I myself am a server, and although the server came over and apologized several times, it probably would have been a good idea to have the manager come and apologize. We finally got it and it was okay, and they ended up comping it, which was nice. I'd give this place one more try...But I most limey wouldn't order the crispy rice roll again.",2015-01-03 22:17:56
56,53,4.0,"Despite the decor, the food was amazing.  My dad and I had the fajtas the first night we were in Scottsdale and boy were we surprised.   Our waitress was amazing as she told us a unique way to get to the Grand Canyon, which we didn't regret.  Salsa was amazing and my mom probably ate most of it.  If I ever go back, I hopefully will go back there for some Mexican.  Was there on 2/15/2012.",2012-03-01 01:21:28
62,58,4.0,"Had an awesome breakfast cum brunch. 
Staff is very warm and courteous and delicious food",2017-07-18 18:38:33
26,25,4.0,"Went in on a Friday since I was strolling around the Venetian and came across this place! The wait wasn't too bad around 1pm (probably 25 minutes max). This place serves a variety of Latin American cuisines including tapas, tacos and burgers! It's standard pricing for Vegas. I ordered the brisket tacos and I didn't feel that they tasted anything out of the ordinary. Service was okay, but I thought it was really awesome for the server to ask my party right away if we have any allergies or items that we don't enjoy eating. However, the portions are on the smaller side so it's perfect to have lunch there if you don't want lug any leftovers around!",2018-04-27 18:53:06
11,10,4.0,Great cocktails and very good food.  Overall first class restaurant.,2013-02-21 21:25:07
61,57,5.0,The draft beer selection is great the tapas style menu is a perfect match and the upstairs is a great after work gathering place. But the best thing about this place is the bartender named Siti (sp) he is one of the best in Charlotte.,2011-01-08 23:48:37
