,uid,iid,score,review
58,10,8,3.0,we go saturday dinner we 2 - 1 coupon price $ 37 two people good deal very large space open layout been time year ago i eat mostly crab leg prime rib they provide self serve drink area i think good you ' flag staff get drink want one we ' situation unlimited alcohol wine beer they bar area one bartender work bunch tv ' watch get update game i ' go way i mirage hungry i ' eat another 2 - 1 coupon i ' spend full retail price eat other buffet strip better price point 
59,40,38,5.0,great food good vegetarian option always busy lot great sauce choose 
61,32,30,5.0,i love location christina server morning fantastic as former waitress i understand hectic overwhelm morning shift get attentive friendly always keep cool even ton table the food bring u within ten minute order ( successfully tame hangry beast brew ) modification order do correctly the food pretty good -- i highly recommend banana nutella crepe overall i impress recent visit keep good work 
63,27,26,4.0,the four stars = expensive place i saw two dollar sign place four dollar sign i ' remember i order come $ 75 00 ( 2 ) bacon egg sandwich ( 2 ) breakfast sandwich ( 2 ) breakfast dessert ( 2 ) juice water i ' pretty sure i order it taste good 2 : 30am hungry i order go since place pack clubbers hotel guest i remember i ' wait long place order i remember scarf matter minute i vaguely remember crawl bed soon 
65,63,59,5.0,we choose place split lunch excellent choice waiter enthusiast funny had good beer selection ( mostly bottle ) refresh much walk blt fry green tomato appetizer must we split blue plate meal watermelon tasty chicken well chicken ' anything special i mean fry chicken expert only downfall restaurant bite dark lunch 
67,56,53,4.0,despite decor food amaze my dad i fajtas first night scottsdale boy surprise our waitress amaze tell u unique way get grand canyon ' regret salsa amaze mom probably eat if i ever go back i hopefully go back mexican was 2 / 15 / 2012 
68,62,58,4.0,had awesome breakfast cum brunch staff warm courteous delicious food 
71,61,57,5.0,the draft beer selection great tapa style menu perfect match upstairs great work gather place but best thing place bartender name siti ( sp ) one best charlotte 
72,33,31,3.0,the service pretty bad there two grouchy lady deal u entrance wait ridiculously long table even though restaurant almost empty then sit far away food possible when ask sit closer say we ask say one cover area seems like could easily fix make one exception i mean buffet ' need much service luckily lady take drink order pretty nice come often clear plate refill mimosa the food buffet one better buffet i ' vegas definitely better monte carlo ' harrah ' nothing compare paris mirage i tell caesar ' palace best i ' never from look i ' sure million time better place if want relatively le expensive buffet food tasty ' fair amount variety might want go especially mimosa ' we get great deal tix4tonight definitely check tix4tonight service like go anywhere vegas one really cool feature salad bar make salad fresh i really enjoy chinese chicken salad there ' also dessert area choice lot buffet though execution ' great definitely worth go food i really think service worst restaurant i go vegas for reason i probably ' go back i ' tell people go 
74,64,60,4.0,"enjoyed nee house immensely no service issue fantastic chinese food food order spicy green beans = perfect !, chow fun ( chicken ) = perfect just great place perhaps expectation set bad service review i disappoint "
77,70,65,5.0,wow - place incredible it huge well light organize everything use reasonably price saw place yelp check they advertise entertainment exchange store they take trade book magazine movie cds game ...... i never see use place well great wish something comparable denver 
78,15,14,2.0,normally i give restaurant least 3 star long good food however group quite disappoint restaurant granted expect lot italian restaurant venetian i also think fine expectation eat price first change reservation say could accommodate time clearly ' we seat fold table hallway next restaurant quite literally food court next kiosk sell trinket tourist whatever ambiance restaurant might offer mystery they ' switch reservation ' possible accommodate change ( fault ' blame ). i know throw table together table chair look different rest one set a front restaurant side like i expect pay lot venetian i expect blow away i would prefer din several place walk way one i pay $ 17 spaghetti carbonara it tasty well - balance sauce decent amount pancetta however i finish whole thing i ' finish entree olive garden price i also eat piece bread one friend order chicken kabob ( know ' sell italian restaurant ). it one single kabob perhaps 4 - 5 piece chicken 4 - 5 vegetable bed rice cost $ 25 absolutely outrageous to top tell waiter celebrate birthday he say ok i expect would receive dessert customary we receive nothing of course waiter ' seem keen give u time day i ' know i expect remember birthday 
79,14,13,5.0,today first time see staff bella smile great experience although i ' currently live las vegas i plan come back checkup problem may arise there wait time whatsoever i without drop pain discomfort the manager severn accommodate get business family friend town 
82,65,29,4.0,in town convention look something away strip found place yelp disappoint mango margarita tasty shrimp taco the waiter mistakenly bring fish taco ( actually quite good well ) apologetic i point he replace quickly possible 
83,81,73,5.0,i miss tram much i wish i could ' take az ' know i want exactly i want hand look whenever i need fix nail without complaint always happy perfect hand 
84,79,71,2.0,really confuse high star rat ... i actually excite airport food due high yelp review should dial expectation i get teriyaki chicken brown rice the rice chicken really dry the veggie soggy service great unlike poster make food maybe i order wrong thing price right - $ 10 food tax 
92,90,81,5.0,i definitely would recommend place anyone thanx cake world cake son ' baby shower make entire event much better i go back future 
96,91,69,4.0,this place top the food great portion ... hell every restaurant vegas begin serve sumo wrestler my family great mix food - mayor flavortown burger motley que sandwich vegas fries don ' kid fry ' side ; long shoot they meal $ 13 ' fill meal we love food i ' say motley que best meal night damn my wife always brag ' better order this place ' inexpensive portion quality make well worth we dinner burgr night $ 100 better option long shoot my complaint host staff they treat like crap - ' number they personality make effort get excite meal - give cell number ' text next when i ask wait 45 minute tell texted 6 minute earlier i show phone - text well also mean apology either she give look like still want i people rude 
98,77,70,5.0,the amaze food friendly atmosphere keep u come back !! my hubby vegetarian love choose anything menu u taste delicious 
100,60,15,5.0,their specialty dish unique the spicy tuna nacho amaze some favorite : lemon roll edamame must for desert also try chocolate chip cookie fudge vanilla ice cream - yummy we celebrate birthday tatami room beautiful private room sit cushion cozy set 
101,41,39,5.0,i never disappoint place i ' yet eat restaurant ahi bar amaze i always come get spicy ahi bowl side ahi so yummy 
102,87,79,4.0,second time i reason i take star away i toss entire takeout dish except cookie !! i specifically make sure say no beans .... unfortunately food cover the service good ... they know menu walk find order right the food good look forward ... looks like totinos lunch today !! 
104,95,85,2.0,"tacos good service good neither great i ' twice i like taco sauce caddie oh god rate low it ' mexican restaurant nothing spicy nothing i ask i greet shrug i ask employee another shrug mean spicy salsa sauce nothing spicy !!!"" sorry sir scottsdale "". i ' spicy freak clear they ' tabasco anything even close hot they habanero oil "". when i ask hot sever tell think vegetable oil hot cause ' tell truth literally i ' pas next time "
105,89,24,3.0,i remember come buffet bellagio several year ago sunday champagne brunch blow away it one best brunch i ever eat alas recent trip make nearly stellar impression i bring mother birthday dinner last month want share wondrous buffet i remember well get bad start my son fell asleep car way ( ' five pool day ) i carry restaurant at register i discover child ' price i would pay $ 30 enter sleep child because mom ' birthday i go i annoy no child go eat $ 30 worth buffet food they want pizza dessert much else of course ' want wake refuse eat much anything i pay sit cranky my bad as adult meal food fine i prime rib ok mash potato awesome my mother crab leg love we must sample every dessert serve one better last the waitress kind lazy wave refill water really food pretty good maybe son ' behavior ' color opinion meal i ' help feel like pay there nothing remarkable offer the service iffy food unexceptional well dessert pretty great i ' need pay almost $ 100 family eat dessert i ' feel love place time 
108,94,84,4.0,nice way spend morning ... relax pool enjoy breakfast terrace pointe café service great food delicious please bring back lobster eggs benedict & wynn sunrise juice menu !!! 
111,78,60,3.0,i ' sure i rate restaurant i walk get soup it around 4pm i destroy need something would clear sinus hot sour soap always trick i tell i ' order cup supper time that ' okay i order bowl soup take home ... 11 00 okay my thing look like cup soup fresh it good though i ' sure i would go back price seem high bowl soup 11 00 ' great much broth 
116,104,92,5.0,loco patrõn favorite mexican restaurant valley when i first try loco patrõn i ' expect great i figure would typical bar food but i blow away delicious food the presentation fabulous service always prompt it great place take friend family i highly recommend 
118,5,5,1.0,"unfortunately i must recommend conduct business fast fix jewelry watch repairs the staff completely unprofessional i never treat rudely life i actually shock walk away think wow people even job ?"" i never write negative review i usually chalk someone bad day i work customer service 10 + year i know exhaust bad day happen but special occasion i drive 30 minute try find someone could help repair watch band i barely greet upon arrival right away felt like i bother the girl behind counter obviously want leave blond kid work snap i ask question i - ask order clarify say snap say i already tell ?!?"" is even authentic ?"" shouting shoulder work something else i shock stand put watch away awkwardly leave one else say word there lot place fix jewelry city i take business elsewhere recommend people read review some place deserve loyal customer base "
119,115,100,4.0,we look lancasters end .. good bc food pretty good i philly onion mushroom white american cheese homemade chip delicious the sandwich lot flavor without really greasy ( cheesesteaks often ) chip good mix crispy soft i expect i ' get homemade chip other dish table - chicken club sandwich ( reportedly very good ) cheeseburger ( report ok eat couldnt bad !!) note : they best sweet tea i ' year really super delish i ' definetely go back 
120,83,75,2.0,first let explain 2 star - decide try sushi friend say good we get smokin fins 6 : 30 pm think plenty time happy hour menu 7 : 00 pm but wait list 40 minute long get seat 7 : 10 pm since happy hour get happy hour price even though wait list 40 minute left bad feel service management i hear couple express opinion thing management say sorry now good part the restaurant nice atmosphere relax inside outside the food presentation impressive service ok the sushi cut think cook perfect if dinner good would return since food good give smokin fins another chance next sushi crave 
124,31,9,4.0,service prompt good i order roti canai excellent also fill the chicken curry roti ' thick i think ' good combination dip i also order lamb curry ( i forget exact name .. rendang ?) flavor good i ' like taste meat chicken beef version probably better the lamb meat i feel taste like lamb sweat at least ' i imagine i give 4 star i ' satisfy lamb meat item bite pricey other ' excellent i like beverage grass jelly drink malaysian ice tea :). will definitely come back next time 
128,57,54,5.0,where i start !? came first time today little shock price ; already sit two little one hungry ' go try look another place eat we order fry pickle start wow i could believe size thing shortly get meal portion huge i finally understand thing price way everything sooo good ; definitely eat 
130,50,46,3.0,it ' great expect i ' crispy bacon guy the bacon borderline crispy salty ( surprisingly ) the smoke salmon extra salty the churros taste funny chicken taquitos flavorless the juice selection limit : apple orange cranberry bring grapefruit pineapple it ' bad the breakfast potato corn beef hash turkey sausage cheese grit good 
131,120,4,5.0,i quest since move arizona find ny style pizza other place add ny style storefront fail deliver i try 1 slice xtra cheese meatball ... i literally picture walk nyc eat slice ny pizza they deliver claim service wonderful two thumb way 
133,122,104,4.0,not 5 star hotel still worth check you ' beat location either .... 
134,102,90,4.0,atmosphere nice decor cute staff really nice the important thing food bomb i get buche taco al pastor taco mexican corn cob the al pastor taco best lot juicy meat despite look weird dry meat spinner ( ' call ?). buche taco ' much meat kinda sad the corn delicious however amount parmesan cheese top kill bite the mole fry amazing ten ten come back 
135,84,76,3.0,is good couldn ' really tell heat i know go i like spicy often think place estimate spicy think food not i enchilada spicy service great atmosphere restaurant colorful it great experience probably ' make onto regular rotation 
137,69,64,4.0,located venetian hotel las vegas great service fast slow depend busy i order beef / broccoli chicken chow mein soft noodle & small wonton soup i ' like green bell pepper chow mein ( next time i order without ). today i order noodle soup chicken vegetable definitely hit spot i add soy sauce chili flavor one favorite chinese restaurant '. 
138,113,99,2.0,honestly i ' get everyone love place i ' native i move area many year ago everyone advise family absolutely try burn almond torte prantl ' we fair great dessert however i work across street decade office lady i work bring nearly everything sell prantl ' last decade the cooky cupcake junior pastry danish donut etc ... make way office i never wow in fact i find item pretty sub par i think prantl ' ' true bakery merely shop produce one signature cake would probably deserve five star ' case since i judge totality product bakery burn almond torte claim fame recognition i find quite lackluster overall if want true bakery treat i would suggest la gourmandine anything vanilla cupcake jean marc chatellier even somewhat overrate oakmont bakery burn almond torte pay specialty bakery price get giant eagle quality fine point might well go giant eagle pay accordingly 
139,15,49,5.0,we eat friend ' birthday see ka ( theater right next restaurant mgm grand ). it ' great / show restaurant we reservation seat right away check host the restaurant open see bar kitchen casino floor i order special night pappardelle pasta chunky tomato sauce shred lamb kale truffle - infuse breadcrumb freshly shred parmesan i tear several item menu i want special since i vegas weekend it phenomenal i rarely eat lamb delicious it incredibly tender taste delicious the sauce thick almost like tomato chunk i ' even feel like i eat tomato sauce the balance sauce meat kale absolutely perfect i also moscow mule cocktails expensive i decide go one alcohol others group several cocktail extremely tasty additionally i try bite friend i bite spaghetti meatball the meatball melt mouth sauce phenomenal the linguini clam come decadent white wine sauce perfectly prepare clam the french onion soup rich buttery taste phenomenal they bring u chocolate cheesecake complimentary birthday dessert write happy birthday raspberry sauce the cheesecake chocolate drizzle top edible pearl garnish plate the waiter say always surprise chef prepare complimentary birthday dessert yes restaurant pricey ( although vegas standard ). however excellent meal receive spectacular service the waiter take excellent care u he really funny make sure everything come perfectly the bussers constantly refill water ensure everything need this incredibly unique delicious restaurant 
144,48,45,4.0,if like thin greasy pizza alexander ' pizza good the $ 6 large pizza nice deal i admit flavor marginally better caesar ' $ 5 pizza the problem sparse cheese cardboard box pizza sit literally soak wet drench oil alexander ' pizza also serf italian greek entree meal the pizza disappoint homemade (?) ranch dress world it ' creamy thick nicely season go surprisingly fresh salad their ranch dress really superb family run place seem nice not friendliest bunch people tell honest work hard 
145,98,88,4.0,came group 20 + see morgan page 11 / 30 / 12 arrival : got club around 11pm getting club simple take around 15 minute car line ( include bite pre - game )! entry : got entire group guestlist 1 : 1 ( guy / girl ) comp midnight sign website get text back put the entry line confuse hell least 4 different line ( staff promoter general vip ). there open bar lady 11 - 12 thing bite rush this come back bite as i make mistake leave guestlist line shorter staff entry line members group female staff member say could get u free even though guy : girl ratio guy i speak personally make sure i leave line well ... she lied the bouncer upfront simply take first equal ratio guy : girl leave another guy stick pay $ 40 entry my girlfriend please fact one group member ( come stag ) get free i ' whatever lesson learn don ' rush don ' tempt open bar shorter line stick guestlist ' approve make sure group ratio even favor girl don ' listen otherwise club layout : the club nice not quite grand spacious xs next door beautiful venue nonetheless main dance floor average size it spacious enough ' feel like can sardine adequate room dance there stair step climb la marquee lady appreciate the main room flank large tent - like area outdoor wad pool / patio area the easiest accessible restroom outside well ( indoor one get crowd ). the outdoor area ideal want socialize take picture take breather etc it ' beautiful bar : the indoor bar layout terrible there maybe 10 foot bar back booth get table this 10 foot also serf main walkway get tent outdoor area not surprisingly lot push bouncer shin light tell move worst : take forever get drink i say tempt open bar lady ' : bar lady get free drink on top lady get one drink time so lady plan hour get drink pas drink guy ' disappoint the outdoor bar nudge tent / outdoor area empty stress - free compare one inside i would recommend buy drink drinks typical vegas price expect neighborhood $ 15 per overall i great experience surrender the club beautiful group blast morgan page ( opener ) rock learn mistake stay away indoor bar come great people one memorable night 4 / 5 
146,54,51,4.0,"we great stay platinum i qualm stay non - game ( read : casino ) hotel strip it ' quick walk action ( 5 10 minute flamingo depend quick pound pavement ). the suite large well equip ( full kitchen dishwasher -- i love store leftover full fridge ) full walk balcony furnish patio table four chair the attach bedroom large outfit king size bed as much like room obviously ' spend ton time since hang strip much day night kinda strange : box tv bedroom flatscreen tv live room not big deal perhaps little outdated i never make pool spa ( although pool area look lovely quiet i read great thing spa intend use i leave hotel ). the restaurant hotel serve fairly yummy food great price ( service little slow time ), even beter killer happy hour lounge every day 4 8 half appetizer menu signature cocktail wine glass bottle sell glass selection bottle serve half day night we frequent happy hour several time trip stoke every visit we plan make home next time stop vegas it ' perfect getaway strip "
147,145,44,5.0,"i currently finish incredible meal literally still restaurant i ' wait post not food ( though delish ), server clenard we come sit maybe ten minute come profusely apologize wait inform u ' get u bruschetta house then proceed order incredibly attentive helpful my friend get around four arnold palmer keep come !! he cordial kind incredibly professional then also receive dessert house ( wait honestly not bad ). everyone wonderful i ' sure clenard reflection entire staff restaurant because amaze server ( forget awesome meal lamb meatball artichoke heart salad ) i set regular i ' never leave review quality service meal i must thank "
149,86,78,5.0,i love almost option available vegan version yum i move sad i longer able come so i make one last trip today i hope consider expand i enjoy yummy item 
152,133,9,5.0,very good authentic malaysian food ayam redang excellent great service back roti canai greasy authentic love 
154,125,107,5.0,amazing steak cheese ... better philly one i ever ... takes little tom order get food ' cause ' good !! great pizza 
155,148,119,4.0,sandwiches good pastries little heavy lots food combo worth price :-) 
156,106,94,5.0,great location nice employee one manager kevin help u one time incredibly knowledgeable item look well layout store 
159,154,35,5.0,excellent hotel room great service the signage little confuse since multiple route area hotel casino always security guard hotel staff around ask direction great security well hotel guest 
161,25,24,4.0,around $ 45 dinner friday night snow kind crab caviar steak tartare type meat cut sushi soup asian cuisine pasta pizza literally think almost everything try really good their dessert section flavor one best recommended sure 
163,129,6,5.0,we hear prepare pho ..... delicious the crispy vietnamese egg roll nice compliment 
167,80,72,4.0,this place worth taxi ride the food great affordable the atmosphere fun nice little bite strip away chaos the portion huge friend i order several item split u there great breakfast option casual vibe 
170,158,11,5.0,amazing !!!! so good !! my mom sister i stop saw show love order i play little safe get spaghetti sister get lasagna mom get burrata agnolotti we love meal eat every single bite the sauce spaghetti rich flavorful although i ' try selection sister claim best lasagna ' ever try it little pricey ' worth quality food great service a must try ' vegas 
171,116,101,4.0,i still full lunch the coffee cup boulder city eat whole dinner i white sangria excellent also salad asian pear blue cheese crumble the dress mango delicious but best part dessert we pineapple upside cake w coconut ice cream chocolate melt cake raspberry coulis vanilla ice cream wow both awesome we ' anything comparable pineapple upside cake boston fantastic service excellent 
172,118,50,5.0,i ' many day clubs vegas hands encore beach club aka ebc one best day club go one main reason one best actually gaming tables most day clubs ' ( actually i ' think day club game table exception xs nightclub ). so ' gambler like ' gonna want go also if ' go book table i recommend book lilypads why its water chill lilypad hang water best world opinion you ' order food lilypad order food grill bring lilypad so ' good if ' go book table ebc make sure go reputable promoter i highly recommend book ebc vip host brian pfeiffer ( 773 ) 459 - 8133 - his cell phone just text he amazzzinnngg he walk make sure ' good answer question just go vegas past weekend blast 
174,165,23,4.0,breakfast favorite meal day i tell meal huge tasty if big appetite place if huge appetite i recommend split meal come someone else lower price significantly the reason i give egg work 5 star price unfortunately consistent good breakfast establishment if ' mind take break usual toast please please please try banana nut muffin it amaze overall i recommend egg work split someone otherwise ' go massive breakfast start day 
175,138,79,4.0,i bring coworkers it ' become sort ritual office bring new employee - - town visitor lunch kind test character we usually go least month my typical order jerk chicken fry rice egg foo yung another vary meat option i ' try black bean admit ' pretty good i ' big fan lentil i prefer rice i love egg foo yung i dislike lot americanized chinese food dish egg foo yung one exception my parent chinese restaurant i younger egg foo yung chino ' taste like dad use make right gravy top i finally try chinese bbq pork couple week ago surprisingly good not authentic nice flavor i also like emerald chicken jerk chicken carnitas my coworkers swear jade red chicken inside quesadilla a strange combination ' actually really good i ' hear machaca inside quesadilla also good finally ' love free snickerdoodle cookie 
176,172,131,5.0,highly recommend lots great box menu option traditional crepe le adventurous 
178,156,72,5.0,cool look spot inside food good price right the french toast delicious 
179,92,82,2.0,food good service always lack 35 minute wait time lunch unacceptable especially hour lunch 
180,52,48,3.0,to honest i bite disappoint had original philly bland i even need add bite salt bring flavor red sauce note : sauce spicy ill say ensure keep food warm even pick thats nice cheese still hot i home also people really polite nice but place ill try anytime soon 
181,51,47,5.0,great steak great service cool venue although ' die bite place still always radar good food 
182,151,121,5.0,first time truly impress good hamburger i like location decor good ol rock roll background music will come 
183,34,32,5.0,my companion i go living kitchen impulse happy say delicious worth my companion get arugula harvest salad i get pad thai the arugula harvest salad tasty component come together well the pad thai also flavorful awesome sauce good afterburn i would highly recommend come try food vegan vegetarian otherwise 
184,109,96,5.0,i read good review place decide give try i disappoint my son i really like chicken fried steak you could tell handmade cube steak freeze patty the cinnamon roll also homemade good ice sweat like cinnabon they also preserve make owner raspberry world i buy small mason jar take home the biscuit fluffy grit cook right egg cook perfectly could use another one we come back look forward try thing you careful drive easily pas i drive back around block i recommend come server nice 
185,54,11,5.0,"before go see love mirage boyfriend i come 7 pm dinner reservation onda we ' live maui year ' almost impossible get hand good italian food i come onda hop wow i disappoint the bar area small brightly light wall wine case din area dark quiet plush booth we greet server right away incredibly helpful negotiate extensive wine list he make recommendation bring u taste we really appreciate expertise helpfulness after order wine start meatballs appetizer two serve platter homemade marinara sauce top golden crust goat cheese what perfect way start dinner this must - order we also split caesar salad large leaf romaine chop perfectly dress best crouton i ' ever for main meal take server ' suggestion order burrata agnolotti pasta veal osso bucco the pasta serve chunk lobster saute chanterelle mushroom roast corn butter sauce the veal slide bone i use fork ( i barely touch knife veal tender ), accompany saffron risotto incredible needless say dinner incredible we order tiramisu dessert practically lick plate clean earlier meal decide order sommelier inform u pasta dish order each pasta handmade restaurant cut order upon request half order pasta entree case ' choose one next time i make vegas i ' take offer amazing food wonderful service you ' disappoint onda "
190,136,113,5.0,i love place soo much almost dont want tell anyone ... lol elegance abd class ... soo sexy 
195,149,97,5.0,such a cute place i come friend brunch completely love ... i skirt stake cook perfection ... yummy drink ' definitely back 
201,38,36,5.0,love come back location one best one i ' have try buffalo ' ' top service metro center store we always get help chelsea awesome always smile make u feel home also team captain always check see good order drink 
